customer_id,id,month,name,age,ssn,occupation,annual_income,monthly_inhand_salary,num_bank_accounts,num_credit_card,interest_rate,num_of_loan,type_of_loan,delay_from_due_date,num_of_delayed_payment,changed_credit_limit,num_credit_inquiries,credit_mix,outstanding_debt,credit_utilization_ratio,credit_history_age,payment_of_min_amount,total_emi_per_month,amount_invested_monthly,payment_behaviour,monthly_balance,credit_score
CUS_0x7500,0x22315,August,Tim Hephero,33,841-44-2527,Scientist,166621.84,13719.153333333335,0,3,1,0,,1,8,5.53,1.0,Good,501.21,35.27456803772823,25 Years and 8 Months,No,0.0,1055.9893991627118,Low_spent_Small_value_payments,605.9259341706213,Good
CUS_0x4203,0x234fd,August,Bavierq,4050,857-44-8236,Musician,39649.74,3078.145,5,3,5272,0,,15,6,1.47,7.0,Good,1338.65,30.917052470345613,21 Years and 11 Months,No,0.0,111.6540042099905,High_spent_Medium_value_payments,446.1604957900095,Standard
CUS_0x9939,0x2385d,August,Slateru,21,355-95-2912,Media_Manager,19889.44,1756.4533333333331,8,7,11,7,"Payday Loan, Not Specified, Student Loan, Credit-Builder Loan, Payday Loan, Mortgage Loan, and Not Specified",23,13,16.62,7.0,Standard,369.64,35.980108473784306,10 Years and 3 Months,Yes,60.92837781478249,37.66661192139907,,337.05034359715177,Standard
CUS_0x44d2,0x1cc75,August,Saphira,23,264-15-7342,Journalist,43493.93,3516.494166666667,4,2,4,0,,10,2,6.93,4.0,Good,621.24,26.73437544207459,32 Years and 5 Months,No,0.0,77.7852108204035,High_spent_Medium_value_payments,523.8642058462632,Good
CUS_0x53f7,0xec59,August,Wanfeng Zhoum,54,623-92-8926,Lawyer,62773.2,5370.099999999999,3,4,19,2,"Payday Loan, and Mortgage Loan",5,6,11.22,7.0,Standard,746.09,23.834945204644463,28 Years and 3 Months,Yes,92.25412507312004,200.72614541445483,High_spent_Small_value_payments,530.68586931823,Standard
CUS_0x835,0xf391,August,Matt Scuffhamr,44,036-30-8679,Journalist,132986.73,11019.2275,4,6,9,0,,8,2,,0.0,,309.07,39.4211348968116,20 Years and 8 Months,No,0.0,455.029882238002,High_spent_Medium_value_payments,896.8928677619981,Good
CUS_0x8d6b,0xe551,August,Huwk,43,275-55-2149,Scientist,104118.69,8853.5575,5,7,5,3,"Mortgage Loan, Debt Consolidation Loan, and Personal Loan",22,15,8.65,9.0,,555.27,39.44680167832376,21 Years and 11 Months,Yes,163.64459709895598,224.92031969657089,High_spent_Large_value_payments,736.7908332044733,Standard
CUS_0x2734,0x24619,August,Natee,15,429-39-1057,Doctor,14135.23,1415.9358333333332,9,5,21,7,"Auto Loan, Personal Loan, Student Loan, Credit-Builder Loan, Not Specified, Home Equity Loan, and Mortgage Loan",39,25,29.49,7.0,Bad,4671.72,29.502280093717182,7 Years and 11 Months,Yes,68.24048935713228,61.6233719451873,Low_spent_Large_value_payments,281.7297220310137,Standard
CUS_0x559e,0x18259,August,Izumiu,29,588-53-0534,Engineer,57872.7,4669.725,1665,5,28,5,"Home Equity Loan, Debt Consolidation Loan, Auto Loan, Auto Loan, and Credit-Builder Loan",7,20,9.37,9.0,Standard,1268.79,36.23096885793826,8 Years and 11 Months,Yes,215.42745661790408,214.0229505750901,Low_spent_Medium_value_payments,317.52209280700595,Poor
CUS_0x689c,0x717d,August,Sergios,40,809-67-7994,Entrepreneur,19436.28,1640.6899999999996,5,5,16,5,"Auto Loan, Mortgage Loan, Credit-Builder Loan, Mortgage Loan, and Student Loan",16,12,17.59,9.0,,1819.46,36.45503515258872,15 Years and 10 Months,Yes,80.27057495503294,10000.0,Low_spent_Small_value_payments,211.3532467628808,Standard
CUS_0x3752,0x101d1,August,Scottv,33,466-47-3467,Writer,98874.63,8196.5525,6,5,12,4,"Debt Consolidation Loan, Debt Consolidation Loan, Mortgage Loan, and Payday Loan",25,16,10.08,6.0,Good,750.39,21.654766125856973,31 Years and 4 Months,No,325.2833888273365,969.578931275735,Low_spent_Small_value_payments,597.4776535790533,Good
CUS_0x10f9,0x25d1d,August,Gilles Guillaumev,54,746-79-6875,,150131.68,11102.135321735655,5,1,4,0,,8,0,7.49,0.0,Good,1138.36,45.2558066955709,31 Years and 11 Months,No,1494.8380115976777,180.7591380504137,High_spent_Medium_value_payments,1328.93819528292,Standard
CUS_0x628d,0xcd51,August,Janb,25,173-51-3586,Engineer,33477.64,2643.8033333333333,7,6,23,6,"Student Loan, Payday Loan, Personal Loan, Auto Loan, Payday Loan, and Student Loan",57,24,6.83,13.0,Bad,1910.95,26.87851295352285,9 Years and 9 Months,NM,113.2192818897486,61.69046257109435,Low_spent_Large_value_payments,289.6881609257976,Poor
CUS_0xa090,0x3c9d,August,Camposn,36,301-85-8354,Engineer,9158.03,822.124561970472,7,9,27,2,"Debt Consolidation Loan, and Credit-Builder Loan",57,22,1.19,9.0,Bad,2495.15,25.03028053113071,13 Years and 5 Months,Yes,54.26316380680065,28.20866325173209,High_spent_Small_value_payments,304.8896943043286,Standard
CUS_0x57b1,0x19bcd,August,Alexeim,36,181-51-6545,Media_Manager,28378.94,2348.9116666666664,3,7,13,3,"Payday Loan, Payday Loan, and Auto Loan",8,17,9.45,7.0,Standard,1640.9,41.44548424936824,16 Years and 11 Months,Yes,52.558354780406255,127.71590160198534,Low_spent_Large_value_payments,324.61691028427504,Poor
CUS_0x663e,0x14161,August,Alperw,39,594-04-1648,Musician,18670.98,1553.915,5,5,14,4,"Debt Consolidation Loan, Debt Consolidation Loan, Payday Loan, and Payday Loan",25,17,15.92,11.0,Standard,1397.21,31.899839161442053,10 Years and 11 Months,Yes,32.44445434920059,61.21789520887417,High_spent_Medium_value_payments,311.72915044192524,Standard
CUS_0x2358,0xbba5,August,Nate Raymondw,40,914-64-8225,Musician,35760.12,2904.01,8,8,33,6,"Personal Loan, Personal Loan, Home Equity Loan, Mortgage Loan, Payday Loan, and Student Loan",17,16,-0.3899999999999997,12.0,Bad,1656.52,38.546290572261626,12 Years and 5 Months,NM,99.85235977419757,70.27836624292543,High_spent_Medium_value_payments,370.270273982877,Standard
CUS_0x9ce8,0x20d85,August,Naomi Tajitsuv,31,943-79-6953,Mechanic,29182.34,2479.8616666666667,8,10,28,5,"Debt Consolidation Loan, Not Specified, Auto Loan, Not Specified, and Credit-Builder Loan",41,18,,12.0,Bad,4883.71,24.79583627192369,7 Years and 3 Months,Yes,121.49954666942442,160.51964368308575,Low_spent_Small_value_payments,255.96697631415648,Poor
CUS_0x42c6,0x9ff1,August,Latulk,15,921-85-4898,Architect,20076.41,1549.0341666666666,8,9,29,6,"Auto Loan, Home Equity Loan, Home Equity Loan, Debt Consolidation Loan, Payday Loan, and Student Loan",43,23,22.67,13.0,Bad,4831.48,31.24689093640988,2 Years and 6 Months,Yes,65.22772759021862,55.9259233367811,Low_spent_Medium_value_payments,313.74976573966694,Poor
CUS_0x8973,0x7c09,August,Steveo,35,187-06-6371,Musician,30472.5,2270.375,3,7,27,7,"Debt Consolidation Loan, Auto Loan, Not Specified, Payday Loan, Auto Loan, Home Equity Loan, and Personal Loan",21,14,14.87,6.0,Standard,1872.17,37.91767382699001,14 Years and 5 Months,Yes,128.78518538714843,70.34772967157592,High_spent_Small_value_payments,287.9045849412757,Poor
CUS_0x9534,0x5b5d,August,Rosendahlf,54,086-97-5528,Mechanic,133394.48,10851.206666666669,5,4,10,4,"Not Specified, Not Specified, Mortgage Loan, and Home Equity Loan",-1,11,4.07,2.0,Good,948.79,32.40832430319058,15 Years and 10 Months,No,429.4343555969737,802.8373688045508,Low_spent_Small_value_payments,142.84894226514226,Standard
CUS_0xaad7,0x4aa1,August,George Georgiopoulosm,35,555-72-2698,Writer,40602.72,3177.56,4,6,14,3,"Not Specified, Credit-Builder Loan, and Debt Consolidation Loan",11,14,8.08,7.0,Standard,1314.56,26.91873994383125,30 Years and 4 Months,No,96.20398492235977,278.95506417037046,,212.5969509072697,Standard
CUS_0x5c2d,0x115c9,August,Benr,49,241-31-0106,Manager,73400.58,5957.715,1,7,11,0,,13,7,-4.36,6.0,Good,1025.71,38.260867456114994,20 Years and 11 Months,No,0.0,162.20356629585189,High_spent_Small_value_payments,693.5679337041481,Standard
CUS_0xb2fc,0x229bd,August,Jessica Wohlt,28,452-02-4154,Doctor,79649.31,6358.4425,7,3,9,3,"Payday Loan, Debt Consolidation Loan, and Mortgage Loan",14,14,7.54,3.0,Good,821.35,34.58818927188769,27 Years and 10 Months,No,81540.0,158.6655554046097,High_spent_Large_value_payments,590.9145514829511,Standard
CUS_0x50ef,0x7e31,August,Chucke,29,629-09-0735,Teacher,36794.54,3165.211666666666,7,4,9,0,,27,15,8.69,5.0,Standard,1117.63,38.13622548706681,8 Years and 10 Months,NM,0.0,40.65314198808368,High_spent_Large_value_payments,515.868024678583,Standard
CUS_0x85ba,0x70b1,August,Mette Fraendef,45,366-96-2058,Musician,29944.64,2787.3866666666668,8,4,4,1,Personal Loan,24,13,1.41,3.0,,1337.15,26.03651169204318,24 Years and 0 Months,No,22.237681266645072,82.39844883191692,High_spent_Medium_value_payments,424.1025365681048,Good
CUS_0x66e0,0x10849,August,Louise Egani,15,287-30-3523,Accountant,20256.39,1971.0325,8,6,21,7,"Debt Consolidation Loan, Debt Consolidation Loan, Auto Loan, Payday Loan, Not Specified, Student Loan, and Payday Loan",52,17,14.89,15.0,Bad,1803.77,33.78781750483221,9 Years and 8 Months,Yes,70.63605834281462,225.0701397751852,Low_spent_Small_value_payments,191.3970518820002,Standard
CUS_0x1041,0x1ca95,August,Jonathan Stempela,15,675-80-2033,Teacher,8978.11,894.1758333333332,8,8,30,9,"Payday Loan, Mortgage Loan, Payday Loan, Mortgage Loan, Home Equity Loan, Home Equity Loan, Mortgage Loan, Not Specified, and Student Loan",50,17,18.48,10.0,Bad,4913.15,37.74656726266676,10 Years and 5 Months,Yes,57.67965790681974,43.56585814621352,High_spent_Small_value_payments,248.1720672803001,Standard
CUS_0xbbc6,0xc265,August,ra Alpere,27,122-43-5969,Accountant,38624.06,3043.671666666666,0,5,11,-100,"Debt Consolidation Loan, Student Loan, Credit-Builder Loan, and Home Equity Loan",6,10,4.19,6.0,Good,1394.46,25.27757686788152,16 Years and 0 Months,No,78.45202561264098,79.14388258477727,,416.7712584692485,Standard
CUS_0x8cc8,0x17f71,August,Douwes,43,646-25-9153,Manager,124564.6,10207.383333333331,3,4,6,7,"Auto Loan, Payday Loan, Credit-Builder Loan, Credit-Builder Loan, Debt Consolidation Loan, Auto Loan, and Home Equity Loan",8,19,11.63,5.0,Standard,849.21,35.85460852823537,13 Years and 3 Months,Yes,472.5923674852065,87.16885593702757,High_spent_Large_value_payments,700.9771099110994,Standard
CUS_0x48a6,0x13141,August,Paola Arosiod,35,437-08-1423,Architect,14691.485,928.2904166666668,3,4,10,1,Student Loan,11,12,1.9,5.0,Good,196.65,33.191590923540765,28 Years and 2 Months,No,7.7678943918962675,44.05220316766911,Low_spent_Large_value_payments,311.00894410710134,Good
CUS_0xb518,0x1f7d1,August,Nobuhirot,50,067-00-6687,Accountant,127855.83,10298.403409530309,5,7,1,4,"Payday Loan, Personal Loan, Debt Consolidation Loan, and Home Equity Loan",8,12,9.2,5.0,,534.08,30.95693477775471,33 Years and 3 Months,No,22375.0,105.91913798856304,High_spent_Large_value_payments,818.7334979561055,Poor
CUS_0xd40,0x1609,August,Aaron Maashoh,23,#F%$D@*&8,Scientist,19114.12,1824.8433333333328,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3,6,11.27,4.0,Good,809.98,23.93379480196552,22 Years and 7 Months,No,49.57494921489417,24.785216509052056,High_spent_Medium_value_payments,358.12416760938714,Standard
CUS_0xc71f,0x17419,August,Ben Klaymanu,27,746-31-3141,Journalist,19768015.0,5359.8116666666665,4,8,7,1,Personal Loan,29,14,17.67,9.0,,1167.37,38.91759598502268,6 Years and 8 Months,Yes,50.17057736977844,108.05833737708949,High_spent_Medium_value_payments,627.7522519197987,Poor
CUS_0x1b8a,0xc2f5,August,Ryanu,33,577-72-6050,,44927.86,3687.988333333333,4,6,6,3,"Not Specified, Personal Loan, and Debt Consolidation Loan",7,8,5.55,0.0,Good,762.62,33.03308334386134,21 Years and 4 Months,No,102.19032878254336,78.43785492350405,High_spent_Medium_value_payments,438.17064962728585,Good
CUS_0x7b2c,0xa099,August,Langee,25,805-29-2042,Manager,92091.87,7842.322499999998,5,4,8,1,Not Specified,13,5,,0.0,,637.18,33.26301516406454,26 Years and 0 Months,No,49.00809679846756,110.51166561207764,High_spent_Large_value_payments,864.7124875894548,Poor
CUS_0x30ae,0xc8b9,August,Michaeli,18,808-52-5403,Scientist,40512.0,3091.0,8,8,15,9,"Payday Loan, Not Specified, Personal Loan, Debt Consolidation Loan, Auto Loan, Mortgage Loan, Payday Loan, Debt Consolidation Loan, and Personal Loan",29,20,22.04,10.0,,3971.97,34.88176273287857,13 Years and 10 Months,Yes,169.48650071860033,118.42362735020949,Low_spent_Small_value_payments,311.1898719311903,Poor
CUS_0xc049,0x1db5d,August,Lucia Mutikaniu,28,973-86-2552,Media_Manager,22418.63,2136.2191666666668,5,4,6,2,"Home Equity Loan, and Mortgage Loan",7,662,1.65,3.0,Good,452.91,36.95584083135096,22 Years and 5 Months,NM,25.05304683869169,143.33748177967578,Low_spent_Small_value_payments,335.23138804829915,Good
CUS_0x4e38,0xbb15,August,Junko Fujitav,20,209-58-8295,Scientist,121471.44,9960.62,1070,3,3,2,"Payday Loan, and Mortgage Loan",12,3,1.37,2.0,Good,736.68,43.58606842727747,26 Years and 8 Months,No,161.16319867530373,290.97833959309867,High_spent_Medium_value_payments,865.6944244008052,Standard
CUS_0x6c99,0x75e5,August,Michele Kambasb,26,508-43-5579,Entrepreneur,9582.025,1022.5020833333332,5,7,7,2,"Payday Loan, and Personal Loan",8,13,5.49,1.0,Good,820.12,26.52395585812037,33 Years and 4 Months,No,8.129068767166897,80.89999982431983,Low_spent_Medium_value_payments,293.22113974184657,Poor
CUS_0xc4bd,0x9ad5,August,Sinead Cruisem,31,740-66-1214,Accountant,15289.33,1417.1108333333334,8,6,12,7,"Credit-Builder Loan, Debt Consolidation Loan, Home Equity Loan, Auto Loan, Payday Loan, Personal Loan, and Home Equity Loan",20,16,11.29,8.0,Standard,12.9,27.61925236062801,7 Years and 10 Months,Yes,44.72054752094138,54.68489481471629,Low_spent_Small_value_payments,332.30564099767565,Standard
CUS_0x4f13,0x291d,August,Cyril Altmeyerk,28,923-13-7813,Lawyer,63635.12,5476.926666666667,3,4,2,2,"Credit-Builder Loan, and Personal Loan",12,10,11.25,7.0,Good,122.65,35.46590360120226,25 Years and 0 Months,No,57.71606551829998,207.2843329947272,High_spent_Small_value_payments,542.6922681536396,Standard
CUS_0x8fa8,0x1560d,August,Marjad,51,774-87-0981,Media_Manager,40639.06,3572.588333333333,1,1,3,0,,0,0,3.5,4.0,Good,853.92,27.1766010485732,23 Years and 9 Months,No,0.0,125.29297874236693,Low_spent_Small_value_payments,521.9658545909664,Standard
CUS_0x944,0x1605d,August,Anurag Kotokyn,42,992-65-1613,Manager,119402.64,9679.22,8,7,19,3,"Personal Loan, Credit-Builder Loan, and Mortgage Loan",10,10,3.39,7.0,,766.15,33.40453505432574,29 Years and 8 Months,NM,176.1574913995295,82.13792857650293,High_spent_Large_value_payments,949.6265800239676,Standard
CUS_0x6b7f,0x21445,August,Leahs,30,715-18-9613,Writer,29823.91,2256.3258333333333,1,1,2,1,Not Specified,9,1,9.52,7.0,Good,1268.94,26.511919012889603,30 Years and 2 Months,No,18.604779603859907,10000.0,High_spent_Medium_value_payments,415.372783559988,Good
CUS_0xbafa,0x16b01,August,Sarahf,40,769-76-3568,Accountant,60015.0,5064.25,7,7,24,2,"Home Equity Loan, and Debt Consolidation Loan",14,15,11.41,11.0,Standard,2461.7,36.830876213598565,16 Years and 8 Months,Yes,75.68353222010654,89.27643361514713,High_spent_Medium_value_payments,591.4650341647464,Standard
CUS_0x7721,0x75b5,August,Erwint,31,678-37-2131,Musician,66999.96,5862.330000000001,10,9,27,7,"Student Loan, Debt Consolidation Loan, Home Equity Loan, Not Specified, Mortgage Loan, Student Loan, and Mortgage Loan",15,23,4.72,11.0,Bad,1619.22,32.46643088753821,12 Years and 2 Months,Yes,357.40606752749034,247.98651580826143,High_spent_Medium_value_payments,230.84041666424832,Poor
CUS_0x9e82,0x10c81,August,Vidya Ranganathanb,35,691-36-8661,Mechanic,19854.12,1425.51,5,4,14,-100,"Mortgage Loan, Student Loan, and Not Specified",25,12,17.25,12.0,Standard,1213.8,27.375241619708586,10 Years and 3 Months,NM,48.20742188976853,127.79564955745737,Low_spent_Medium_value_payments,246.54792855277407,Standard
CUS_0x92f,0x5215,August,Mikez,19,298-72-3174,Doctor,37404.67,3344.0558333333333,0,5,1,1,Personal Loan,18,9,3.09,6.0,Good,1292.8,35.697578333872144,33 Years and 3 Months,NM,25.52060507255868,39.07720001535082,High_spent_Medium_value_payments,519.8077782454238,Poor
CUS_0x8c88,0x175bd,August,Krudyc,15,034-83-1351,Accountant,57889.44,4592.12,10,10,22,6,"Payday Loan, Debt Consolidation Loan, Debt Consolidation Loan, Debt Consolidation Loan, Mortgage Loan, and Student Loan",33,25,7.78,10.0,Bad,1253.64,25.86665888295387,15 Years and 10 Months,Yes,228.5285219436261,207.1318550788314,High_spent_Small_value_payments,283.5516229775425,Poor
CUS_0x5190,0x1bee9,August,Ronald Groverb,51,916-40-9751,Doctor,29042.27,2273.1891666666666,5,662,7,3,"Auto Loan, Mortgage Loan, and Student Loan",12,12,7.64,5.0,Good,94.5,30.16638073974822,25 Years and 10 Months,No,48.80143973687085,254.42764537765967,Low_spent_Small_value_payments,214.0898315521361,Standard
CUS_0x4e6e,0xabc1,August,Vlastelicad,54,758-72-3397,Scientist,65598.44,5593.536666666668,1,3,11,1,Credit-Builder Loan,6,2,6.34,6.0,Good,306.98,27.363467963938245,33 Years and 2 Months,No,33.10606029004169,234.2687235103504,High_spent_Small_value_payments,551.9788828662747,Good
CUS_0x8da1,0xcf0d,August,Sujata Raog,46,360-75-0836,,15608.695,1300.5880028744134,7,3,12,4,"Auto Loan, Mortgage Loan, Debt Consolidation Loan, and Payday Loan",12,19,12.35,10.0,,488.34,34.860901024499924,19 Years and 11 Months,Yes,92.91440921428024,128.73945745272297,Low_spent_Medium_value_payments,261.1551721252499,Standard
CUS_0x831c,0x185b9,August,McCoolk,36,585-07-1420,Engineer,30296.0,2732.6666666666665,10,8,22,6,"Student Loan, Debt Consolidation Loan, Not Specified, Payday Loan, Debt Consolidation Loan, and Personal Loan",32,20,4.14,10.0,Bad,2851.57,34.556122954654015,3 Years and 6 Months,Yes,124.5743200590907,231.2030522208404,Low_spent_Small_value_payments,207.4892943867356,Poor
CUS_0x558d,0x23461,August,Lh,42,658-01-3989,Writer,17408.23,1397.6858333333332,6,3,16,6,"Home Equity Loan, Debt Consolidation Loan, Student Loan, Student Loan, Personal Loan, and Payday Loan",27,13,14.51,8.0,Standard,1658.2,24.56325272697434,7 Years and 6 Months,Yes,58.58963398172959,77.2540591607324,Low_spent_Small_value_payments,293.92489019087134,Poor
CUS_0x4734,0x7951,August,Luke Jeffss,21,839-25-8518,Manager,42240.87,3296.0725,9,8,22,5,"Payday Loan, Credit-Builder Loan, Home Equity Loan, Student Loan, and Debt Consolidation Loan",20,24,19.62,10.0,,3483.9,40.28200461333768,14 Years and 0 Months,Yes,95.74849408764148,23.549201019137683,High_spent_Large_value_payments,450.3095548932208,Standard
CUS_0x6387,0x2401,August,Araxiab,27,063-08-8008,Manager,62316.63,4895.0525,8,4,7,2,"Payday Loan, and Debt Consolidation Loan",12,9,0.94,1.0,Standard,417.27,39.00423496372967,26 Years and 10 Months,No,82.73317698517836,146.4301794746167,High_spent_Medium_value_payments,510.34189354020486,Standard
CUS_0xae47,0x9175,August,Tomk,14,368-25-5594,Doctor,68657.76,5558.48,6,4,16,6,"Payday Loan, Auto Loan, Student Loan, Student Loan, Auto Loan, and Not Specified",6,12,11.06,9.0,Standard,1532.41,27.89053924359898,17 Years and 9 Months,NM,282.67064734739336,107.6505562745176,High_spent_Medium_value_payments,415.5267963780889,Poor
CUS_0xb6b,0x14e15,August,Arno Schuetzek,21,257-56-8708,Mechanic,36463.7,2845.6416666666664,4,7,3,1,Personal Loan,9,5,4.55,1.0,Good,1051.13,24.494327619456268,18 Years and 4 Months,No,19.159720761716454,44.1586850750759,High_spent_Medium_value_payments,471.2457608298744,Good
CUS_0x4a3b,0x7d29,August,Ronald Grovers,21,589-89-6617,,7455.07,357.25583333333327,10,6,28,9,"Personal Loan, Home Equity Loan, Not Specified, Not Specified, Not Specified, Home Equity Loan, Mortgage Loan, Personal Loan, and Not Specified",40,19,23.73,7.0,,4559.45,26.925968578418427,3 Years and 10 Months,Yes,39.60788086607506,23.921117945444266,High_spent_Small_value_payments,232.196584521814,Poor
CUS_0x5a2,0xd939,August,Bakerl,17,#F%$D@*&8,Scientist,15410.19,1554.1825,10,5,28,-100,"Auto Loan, Payday Loan, Payday Loan, Payday Loan, Credit-Builder Loan, and Credit-Builder Loan",20,26,4.69,11.0,Bad,1257.4,30.91468679988224,14 Years and 4 Months,Yes,39.62811681829229,121.2357556948698,Low_spent_Large_value_payments,264.5543774868379,Poor
CUS_0x512e,0xbfd1,August,Kiharau,42,171-22-0944,Architect,19218.21,1669.5175,10,6,27,4,"Mortgage Loan, Home Equity Loan, Personal Loan, and Personal Loan",47,23,15.39,11.0,Standard,2329.4,39.3710706367656,7 Years and 10 Months,Yes,53.97582251796879,130.6170922821126,Low_spent_Small_value_payments,272.35883519991864,Standard
CUS_0x718a,0xb671,August,Osamua,21,981-14-9909,Teacher,18001.59,1258.1325,7,9,31,2,"Credit-Builder Loan, and Mortgage Loan",19,19,16.34,12.0,Bad,2225.58,30.99858633500809,20 Years and 3 Months,Yes,24.98644681075232,97.60876860870462,Low_spent_Small_value_payments,293.21803458054313,Poor
CUS_0x3fee,0x10525,August,Edward Krudyn,25,#F%$D@*&8,Media_Manager,87095.61,7063.9675,0,670,7,3,"Credit-Builder Loan, Student Loan, and Payday Loan",9,9,-0.2300000000000004,4.0,Good,1005.15,34.0815419965936,33 Years and 4 Months,No,158.70988572841063,81.2430713738157,High_spent_Large_value_payments,706.4437928977736,Good
CUS_0x1a4a,0x12b1d,August,Paul Taylorj,41,759-42-2499,Developer,12162.055,805.5045833333335,5,7,13,3,"Auto Loan, Home Equity Loan, and Payday Loan",22,11,10.84,4.0,Standard,1179.95,37.26939182364457,30 Years and 10 Months,Yes,27.80687832332613,10.35874106245712,High_spent_Large_value_payments,282.38483894755007,Standard
CUS_0x4379,0x9b29,August,Hirschlerm,48,760-50-8474,Entrepreneur,19204.25,1660.354166666667,5,7,13,3,"Not Specified, Mortgage Loan, and Credit-Builder Loan",14,12,5.31,7.0,Standard,504.06,34.49942909396475,30 Years and 2 Months,No,35.14812339828019,157.3218419058421,Low_spent_Medium_value_payments,253.5654513625444,Standard
CUS_0x97dc,0x83f5,August,Carolineg,31,069-20-5974,Musician,99912.57,8615.0475,1,5,5,1,Home Equity Loan,16,5,1.13,1.0,Good,148.57,39.05147101479953,22 Years and 9 Months,No,64.37027167878978,240.40098710653976,High_spent_Medium_value_payments,806.7334912146706,Poor
CUS_0x4e7a,0x62f5,August,Rodrigo Camposi,47,519-19-0998,Developer,133214.25,11166.1875,3,3,2,3,"Credit-Builder Loan, Not Specified, and Not Specified",10,11,9.48,6.0,Good,68.18,22.35157412217493,19 Years and 4 Months,NM,309.1572520422692,1015.9438688790332,Low_spent_Large_value_payments,61.51762907869772,Good
